date,symbol,call_vol,put_vol,pc_ratio
2026-08-10,USO,46218,31939,0.69
2026-08-10,XLE,15274,22269,1.46
2026-08-10,XOM,33405,7327,0.22
2026-08-10,FRO,7572,1557,0.21
2026-08-10,STNG,437,325,0.74
2026-08-10,TNK,769,312,0.41
2026-08-10,INSW,1024,241,0.24
2026-08-10,NAT,575,192,0.33
2026-08-11,USO,67516,42964,0.64
2026-08-11,XLE,67236,35965,0.53
2026-08-11,XOM,37024,12932,0.35
2026-08-11,FRO,2351,1266,0.54
2026-08-11,STNG,474,302,0.64
2026-08-11,TNK,1498,312,0.21
2026-08-11,INSW,1100,367,0.33
2026-08-11,NAT,864,347,0.4
2026-08-12,USO,22885,11709,0.51
2026-08-12,XLE,39509,15346,0.39
2026-08-12,XOM,22063,9996,0.45
2026-08-12,FRO,1566,1653,1.06
2026-08-12,STNG,1744,1367,0.78
2026-08-12,TNK,1364,306,0.22
2026-08-12,INSW,3481,390,0.11
2026-08-12,NAT,1040,1121,1.08
2026-08-13,USO,40303,21001,0.52
2026-08-13,XLE,38118,19303,0.51
2026-08-13,XOM,13143,4926,0.37
2026-08-13,FRO,2017,1183,0.59
2026-08-13,STNG,1720,877,0.51
2026-08-13,TNK,1278,304,0.24
2026-08-13,INSW,3061,301,0.1
2026-08-13,NAT,807,828,1.03
2026-08-14,USO,43711,21260,0.49
2026-08-14,XLE,32674,13852,0.42
2026-08-14,XOM,19038,9389,0.49
2026-08-14,FRO,2415,1127,0.47
2026-08-14,STNG,405,1145,2.83
2026-08-14,TNK,1474,345,0.23
2026-08-14,INSW,3047,408,0.13
2026-08-14,NAT,743,342,0.46
2026-08-17,USO,48795,18506,0.38
2026-08-17,XLE,52642,26245,0.5
2026-08-17,XOM,170241,5569,0.03
2026-08-17,FRO,1945,890,0.46
2026-08-17,STNG,867,725,0.84
2026-08-17,TNK,548,327,0.6
2026-08-17,INSW,832,533,0.64
2026-08-17,NAT,2095,259,0.12
2026-08-18,USO,49377,18319,0.37
2026-08-18,XLE,71392,21066,0.3
2026-08-18,XOM,20018,6512,0.33
2026-08-18,FRO,6360,2426,0.38
2026-08-18,STNG,1529,458,0.3
2026-08-18,TNK,673,365,0.54
2026-08-18,INSW,2681,326,0.12
2026-08-18,NAT,1974,287,0.15
2026-08-19,USO,31171,14860,0.48
2026-08-19,XLE,34974,19995,0.57
2026-08-19,XOM,30481,8338,0.27
2026-08-19,FRO,5011,2605,0.52
2026-08-19,STNG,901,265,0.29
2026-08-19,TNK,661,465,0.7
2026-08-19,INSW,588,322,0.55
2026-08-19,NAT,699,217,0.31
2026-08-20,USO,39595,18522,0.47
2026-08-20,XLE,24355,13503,0.55
2026-08-20,XOM,32080,9903,0.31
2026-08-20,FRO,3960,3219,0.81
2026-08-20,STNG,1185,322,0.27
2026-08-20,TNK,495,452,0.91
2026-08-20,INSW,3550,511,0.14
2026-08-20,NAT,3881,278,0.07
2026-08-21,USO,46265,24449,0.53
2026-08-21,XLE,25796,14566,0.56
2026-08-21,XOM,27165,10528,0.39
2026-08-21,FRO,1640,1848,1.13
2026-08-21,STNG,1118,1183,1.06
2026-08-21,TNK,536,452,0.84
2026-08-21,INSW,583,490,0.84
2026-08-21,NAT,983,471,0.48
2026-08-24,USO,54577,21004,0.38
2026-08-24,XLE,10535,15166,1.44
2026-08-24,XOM,28355,7996,0.28
2026-08-24,FRO,2557,2212,0.87
2026-08-24,STNG,2153,1761,0.82
2026-08-24,TNK,209,200,0.96
2026-08-24,INSW,3048,474,0.16
2026-08-24,NAT,3776,3784,1.0
2026-08-25,USO,31305,15005,0.48
2026-08-25,XLE,6627,9629,1.45
2026-08-25,XOM,13477,6251,0.46
2026-08-25,FRO,4861,3989,0.82
2026-08-25,STNG,2298,2173,0.95
2026-08-25,TNK,357,424,1.19
2026-08-25,INSW,600,362,0.6
2026-08-25,NAT,1031,2934,2.85
2026-08-26,USO,34796,28902,0.83
2026-08-26,XLE,22155,39897,1.8
2026-08-26,XOM,10864,7773,0.72
2026-08-26,FRO,8320,4497,0.54
2026-08-26,STNG,574,2314,4.03
2026-08-26,TNK,254,334,1.31
2026-08-26,INSW,3108,435,0.14
2026-08-26,NAT,2051,1967,0.96
2026-08-27,USO,43982,23010,0.52
2026-08-27,XLE,20838,28955,1.39
2026-08-27,XOM,20998,8976,0.43
2026-08-27,FRO,9543,6470,0.68
2026-08-27,STNG,965,2986,3.09
2026-08-27,TNK,197,293,1.49
2026-08-27,INSW,726,391,0.54
2026-08-27,NAT,4141,2633,0.64
2026-08-28,USO,47373,18432,0.39
2026-08-28,XLE,5899,11285,1.91
2026-08-28,XOM,26566,6832,0.26
2026-08-28,FRO,16099,5938,0.37
2026-08-28,STNG,657,2224,3.39
2026-08-28,TNK,203,290,1.43
2026-08-28,INSW,4492,279,0.06
2026-08-28,NAT,1380,484,0.35
2026-08-31,USO,19470,11928,0.61
2026-08-31,XLE,19074,4300,0.23
2026-08-31,XOM,97606,6468,0.07
2026-08-31,FRO,4040,4553,1.13
2026-08-31,STNG,498,1547,3.11
2026-08-31,TNK,243,286,1.18
2026-08-31,INSW,2929,357,0.12
2026-08-31,NAT,1059,500,0.47
2026-09-01,USO,7255,5135,0.71
2026-09-01,XLE,4686,2234,0.48
2026-09-01,XOM,88915,1609,0.02
2026-09-01,FRO,806,4481,5.56
2026-09-01,STNG,471,1512,3.21
2026-09-01,TNK,281,288,1.02
2026-09-01,INSW,2958,471,0.16
2026-09-01,NAT,716,371,0.52
2026-09-02,USO,18412,20326,1.1
2026-09-02,XLE,14597,10676,0.73
2026-09-02,XOM,80867,4289,0.05
2026-09-02,FRO,2797,3043,1.09
2026-09-02,STNG,830,916,1.1
2026-09-02,TNK,257,321,1.25
2026-09-02,INSW,548,386,0.7
2026-09-02,NAT,593,363,0.61
2026-09-03,USO,18562,8925,0.48
2026-09-03,XLE,1891,4331,2.29
2026-09-03,XOM,83444,3020,0.04
2026-09-03,FRO,1338,2383,1.78
2026-09-03,STNG,579,892,1.54
2026-09-03,TNK,212,321,1.51
2026-09-03,INSW,2978,369,0.12
2026-09-03,NAT,646,780,1.21
2026-09-04,USO,58929,33680,0.57
2026-09-04,XLE,9620,5068,0.53
2026-09-04,XOM,92810,7811,0.08
2026-09-04,FRO,4906,2776,0.57
2026-09-04,STNG,721,979,1.36
2026-09-04,TNK,187,282,1.51
2026-09-04,INSW,581,384,0.66
2026-09-04,NAT,4427,799,0.18
2026-09-07,USO,21537,22555,1.05
2026-09-07,XLE,11249,24585,2.19
2026-09-07,XOM,110327,7554,0.07
2026-09-07,FRO,12657,5144,0.41
2026-09-07,STNG,924,794,0.86
2026-09-07,TNK,202,403,2.0
2026-09-07,INSW,10737,428,0.04
2026-09-07,NAT,1475,825,0.56
2026-09-08,USO,9610,5542,0.58
2026-09-08,XLE,2579,15173,5.88
2026-09-08,XOM,80989,2739,0.03
2026-09-08,FRO,8051,3864,0.48
2026-09-08,STNG,922,794,0.86
2026-09-08,TNK,191,406,2.13
2026-09-08,INSW,6296,410,0.07
2026-09-08,NAT,893,798,0.89
